,date,plan,exercise,weight,reps
0,2022-01-16,,Bench Press - Barbell,60,6
1,2022-01-16,,Bench Press - Barbell,70,5
2,2022-01-16,,Bench Press - Barbell,75,3
3,2022-01-16,,Bench Press - Barbell,70,5
4,2022-01-16,,Bench Press - Barbell,60,10
5,2022-01-16,,Deadlifts - Barbell,110,5
6,2022-01-16,,Deadlifts - Barbell,130,5
7,2022-01-16,,Deadlifts - Barbell,150,2
8,2022-01-16,,Deadlifts - Barbell,130,8
9,2022-01-16,,Deadlifts - Barbell,140,3
10,2022-01-16,,Standing Shoulder Press - Barbell,40,6
11,2022-01-16,,Standing Shoulder Press - Barbell,40,6
12,2022-01-16,,Standing Shoulder Press - Barbell,40,6
13,2022-01-12,,Leg Press - Machine,100,15
14,2022-01-12,,Leg Press - Machine,150,15
15,2022-01-12,,Leg Press - Machine,140,20
16,2022-01-12,,Lying Leg Curls - Machine,44,10
17,2022-01-12,,Lying Leg Curls - Machine,45,10
18,2022-01-12,,Lying Leg Curls - Machine,41,10
19,2022-01-12,,Leg Extensions - Machine,59,10
20,2022-01-12,,Leg Extensions - Machine,66,10
21,2022-01-12,,Leg Extensions - Machine,73,10
22,2022-01-11,,Bench Press - Barbell,50,5
23,2022-01-11,,Bench Press - Barbell,60,5
24,2022-01-11,,Bench Press - Barbell,70,5
25,2022-01-11,,Bench Press - Barbell,70,4
26,2022-01-11,,Bench Press - Barbell,70,4
27,2022-01-11,,Incline Bench Press - Dumbbells,20,10
28,2022-01-11,,Incline Bench Press - Dumbbells,22,7
29,2022-01-11,,Incline Bench Press - Dumbbells,20,7
30,2022-01-10,,Hanging Leg Raises - Bodyweight,0,10
31,2022-01-10,,Hanging Leg Raises - Bodyweight,0,10
32,2022-01-10,,Hanging Leg Raises - Bodyweight,0,10
33,2022-01-10,,Standing Russian Twists - Cable,14,10
34,2022-01-10,,Standing Russian Twists - Cable,17,10
35,2022-01-10,,Standing Russian Twists - Cable,19,10
36,2022-01-10,,Standing Russian Twists - Cable,10,10
37,2022-01-10,,Standing Russian Twists - Cable,10,10
38,2022-01-10,,Standing Russian Twists - Cable,10,10
39,2022-01-10,,Leg Raises - Bodyweight,0,10
40,2022-01-10,,Leg Raises - Bodyweight,0,12
41,2022-01-10,,Leg Raises - Bodyweight,0,12
42,2022-01-10,,Crunch Machine - Machine,45,10
43,2022-01-10,,Crunch Machine - Machine,54,10
44,2022-01-10,,Crunch Machine - Machine,56,10
45,2021-12-29,,Bench Press - Barbell,40,8
46,2021-12-29,,Bench Press - Barbell,60,8
47,2021-12-29,,Bench Press - Barbell,80,1
48,2021-12-29,,Bench Press - Barbell,60,7
49,2021-12-29,,Bench Press - Barbell,60,10
50,2021-12-29,,Deadlifts - Barbell,80,8
51,2021-12-29,,Deadlifts - Barbell,100,5
52,2021-12-29,,Deadlifts - Barbell,120,5
53,2021-12-29,,Deadlifts - Barbell,130,5
54,2021-12-29,,Deadlifts - Barbell,140,5
55,2021-12-29,,Deadlifts - Barbell,150,5
56,2021-12-22,,Decline Bench Press - Smith machine,50,8
57,2021-12-22,,Decline Bench Press - Smith machine,60,8
58,2021-12-22,,Decline Bench Press - Smith machine,60,8
59,2021-12-22,,Decline Bench Press - Smith machine,60,8
60,2021-12-22,,Decline Bench Press - Smith machine,60,8
61,2021-12-21,,Hanging Leg Raises - Bodyweight,0,10
62,2021-12-21,,Hanging Leg Raises - Bodyweight,0,10
63,2021-12-21,,Hanging Leg Raises - Bodyweight,0,10
64,2021-12-21,,Standing Russian Twists - Cable,14,10
65,2021-12-21,,Standing Russian Twists - Cable,17,10
66,2021-12-21,,Standing Russian Twists - Cable,19,10
67,2021-12-21,,Standing Russian Twists - Cable,10,10
68,2021-12-21,,Standing Russian Twists - Cable,10,10
69,2021-12-21,,Standing Russian Twists - Cable,10,10
70,2021-12-21,,Crunch Machine - Machine,45,10
71,2021-12-21,,Crunch Machine - Machine,54,10
72,2021-12-21,,Crunch Machine - Machine,56,10
73,2021-12-19,,Bench Press - Barbell,50,8
74,2021-12-19,,Bench Press - Barbell,60,5
75,2021-12-19,,Bench Press - Barbell,70,5
76,2021-12-19,,Bench Press - Barbell,70,5
77,2021-12-19,,Bench Press - Barbell,60,10
78,2021-12-19,,Deadlifts - Barbell,80,8
79,2021-12-19,,Deadlifts - Barbell,100,5
80,2021-12-19,,Deadlifts - Barbell,120,5
81,2021-12-19,,Deadlifts - Barbell,140,5
82,2021-12-19,,Deadlifts - Barbell,140,5
83,2021-12-19,,Standing Shoulder Press - Barbell,35,5
84,2021-12-19,,Standing Shoulder Press - Barbell,35,8
85,2021-12-19,,Standing Shoulder Press - Barbell,35,5
86,2021-12-19,,Pull-Ups with Wide Overhand Grip - Bodyweight,0,6
87,2021-12-19,,Pull-Ups with Wide Overhand Grip - Bodyweight,0,6
88,2021-12-19,,Pull-Ups with Wide Overhand Grip - Bodyweight,0,6
89,2021-12-08,,Decline Bench Press - Smith machine,50,10
90,2021-12-08,,Decline Bench Press - Smith machine,60,8
91,2021-12-08,,Decline Bench Press - Smith machine,60,8
92,2021-12-08,,Decline Bench Press - Smith machine,60,10
93,2021-12-08,,Decline Bench Press - Smith machine,60,10
94,2021-12-08,,Overhead Tricep Extensions - Cable,19,10
95,2021-12-08,,Overhead Tricep Extensions - Cable,19,8
96,2021-12-08,,Overhead Tricep Extensions - Cable,17,10
97,2021-12-08,,Incline Bench Press - Dumbbells,20,10
98,2021-12-08,,Incline Bench Press - Dumbbells,20,10
99,2021-12-08,,Incline Bench Press - Dumbbells,20,6
100,2021-12-06,,Hanging Leg Raises - Bodyweight,0,8
101,2021-12-06,,Hanging Leg Raises - Bodyweight,0,10
102,2021-12-06,,Hanging Leg Raises - Bodyweight,0,10
103,2021-12-06,,Standing Russian Twists - Cable,17,10
104,2021-12-06,,Standing Russian Twists - Cable,17,10
105,2021-12-06,,Standing Russian Twists - Cable,17,10
106,2021-12-06,,Standing Russian Twists - Cable,10,10
107,2021-12-06,,Standing Russian Twists - Cable,10,10
108,2021-12-06,,Standing Russian Twists - Cable,10,10
109,2021-12-06,,Leg Raises - Bodyweight,0,10
110,2021-12-06,,Leg Raises - Bodyweight,0,12
111,2021-12-06,,Leg Raises - Bodyweight,0,12
112,2021-12-01,,Bench Press - Barbell,60,8
113,2021-12-01,,Bench Press - Barbell,65,8
114,2021-12-01,,Bench Press - Barbell,65,5
115,2021-12-01,,Bench Press - Barbell,65,5
116,2021-12-01,,Bench Press - Barbell,60,8
117,2021-12-01,,Overhead Tricep Extensions - Cable,19,10
118,2021-12-01,,Overhead Tricep Extensions - Cable,17,12
119,2021-12-01,,Overhead Tricep Extensions - Cable,14,15
120,2021-11-28,,Bench Press - Barbell,50,8
121,2021-11-28,,Bench Press - Barbell,60,5
122,2021-11-28,,Bench Press - Barbell,65,5
123,2021-11-28,,Bench Press - Barbell,65,5
124,2021-11-28,,Bench Press - Barbell,70,4
125,2021-11-28,,Deadlifts - Barbell,100,8
126,2021-11-28,,Deadlifts - Barbell,120,5
127,2021-11-28,,Deadlifts - Barbell,140,5
128,2021-11-28,,Deadlifts - Barbell,140,3
129,2021-11-28,,Deadlifts - Barbell,120,8
130,2021-11-28,,Standing Shoulder Press - Barbell,30,8
131,2021-11-28,,Standing Shoulder Press - Barbell,40,5
132,2021-11-28,,Standing Shoulder Press - Barbell,40,8
133,2021-11-28,,Standing Shoulder Press - Barbell,40,5
134,2021-11-28,,Pull-Ups with Wide Overhand Grip - Bodyweight,0,6
135,2021-11-28,,Pull-Ups with Wide Overhand Grip - Bodyweight,0,6
136,2021-11-28,,Pull-Ups with Wide Overhand Grip - Bodyweight,0,6
137,2021-11-24,,Bench Press - Barbell,60,8
138,2021-11-24,,Bench Press - Barbell,65,7
139,2021-11-24,,Bench Press - Barbell,60,5
140,2021-11-24,,Bench Press - Barbell,50,12
141,2021-11-24,,Overhead Tricep Extensions - Cable,17,10
142,2021-11-24,,Overhead Tricep Extensions - Cable,17,10
143,2021-11-24,,Overhead Tricep Extensions - Cable,14,12
144,2021-11-24,,Incline Bench Press - Dumbbells,16,10
145,2021-11-24,,Incline Bench Press - Dumbbells,18,12
146,2021-11-24,,Incline Bench Press - Dumbbells,18,12
147,2021-11-24,,Tricep Pushdowns - Cable,17,10
148,2021-11-24,,Flys - Cable,10,15
149,2021-11-23,,Leg Press - Machine,100,15
150,2021-11-23,,Leg Press - Machine,140,15
151,2021-11-23,,Leg Press - Machine,140,15
152,2021-11-23,,Lying Leg Curls - Machine,43,8
153,2021-11-23,,Lying Leg Curls - Machine,45,8
154,2021-11-23,,Lying Leg Curls - Machine,45,8
155,2021-11-23,,Leg Extensions - Machine,66,8
156,2021-11-23,,Leg Extensions - Machine,73,8
157,2021-11-23,,Leg Extensions - Machine,73,8
158,2021-11-22,,Hanging Leg Raises - Bodyweight,0,10
159,2021-11-22,,Hanging Leg Raises - Bodyweight,0,10
160,2021-11-22,,Hanging Leg Raises - Bodyweight,0,10
161,2021-11-22,,Standing Russian Twists - Cable,17,10
162,2021-11-22,,Standing Russian Twists - Cable,17,10
163,2021-11-22,,Leg Raises - Bodyweight,45,8
164,2021-11-22,,Leg Raises - Bodyweight,45,10
165,2021-11-22,,Leg Raises - Bodyweight,45,10
166,2021-11-22,,Crunch Machine - Machine,45,10
167,2021-11-22,,Crunch Machine - Machine,54,10
168,2021-11-22,,Crunch Machine - Machine,56,10
169,2021-11-22,,Lateral Raises - Dumbbells,8,10
170,2021-11-22,,Lateral Raises - Dumbbells,6,15
171,2021-11-22,,Lateral Raises - Dumbbells,4,15
172,2021-11-22,,Lateral Raises - Dumbbells,4,10
